SettlementPoint,Year,Month,AveragePrice
LZ_CPS,2019,5,26.246075268817204
LZ_HOUSTON,2019,5,25.153615591397852
LZ_LCRA,2019,5,24.508682795698924
LZ_NORTH,2019,5,24.011451612903226
LZ_RAYBN,2019,5,24.788158602150535
LZ_SOUTH,2019,5,27.210994623655914
LZ_WEST,2019,5,28.851989247311828
HB_BUSAVG,2019,6,25.085541666666668
HB_HOUSTON,2019,6,26.897680555555556
HB_HUBAVG,2019,6,25.17154166666667
HB_NORTH,2019,6,25.175819444444446
HB_PAN,2019,6,20.731319444444445
HB_SOUTH,2019,6,23.90436111111111
HB_WEST,2019,6,24.708555555555556
LZ_AEN,2019,6,24.416791666666665
LZ_CPS,2019,6,26.391291666666664
LZ_HOUSTON,2019,6,27.226736111111112
LZ_LCRA,2019,6,24.519541666666665
LZ_NORTH,2019,6,25.20791666666667
LZ_RAYBN,2019,6,25.45851388888889
LZ_SOUTH,2019,6,27.259597222222222
LZ_WEST,2019,6,32.02677777777778
HB_BUSAVG,2019,7,29.72962365591398
HB_HOUSTON,2019,7,29.911008064516132
HB_HUBAVG,2019,7,29.696236559139784
HB_NORTH,2019,7,29.78129032258065
HB_PAN,2019,7,28.384569892473117
HB_SOUTH,2019,7,29.6375
HB_WEST,2019,7,29.45547043010753
LZ_AEN,2019,7,29.709086021505378
LZ_CPS,2019,7,30.667177419354836
LZ_HOUSTON,2019,7,30.01306451612903
LZ_LCRA,2019,7,29.74791666666667
LZ_NORTH,2019,7,29.83494623655914
LZ_RAYBN,2019,7,30.02971774193548
LZ_SOUTH,2019,7,31.132163978494624
LZ_WEST,2019,7,32.07568548387097
HB_BUSAVG,2019,8,126.38408602150537
HB_HOUSTON,2019,8,126.62533602150535
HB_HUBAVG,2019,8,126.3498387096774
HB_NORTH,2019,8,126.52185483870969
HB_PAN,2019,8,124.9917338709677
HB_SOUTH,2019,8,125.93654569892475
HB_WEST,2019,8,126.3152822580645
LZ_AEN,2019,8,126.52692204301073
LZ_CPS,2019,8,127.69620967741933
LZ_HOUSTON,2019,8,126.69338709677419
LZ_LCRA,2019,8,126.67076612903224
LZ_NORTH,2019,8,126.60091397849462
LZ_RAYBN,2019,8,126.8978897849462
LZ_SOUTH,2019,8,127.1090188172043
LZ_WEST,2019,8,128.8764650537634
HB_BUSAVG,2019,9,79.61562500000001
HB_HOUSTON,2019,9,80.5876527777778
HB_HUBAVG,2019,9,79.45919444444445
HB_NORTH,2019,9,79.91958333333338
HB_PAN,2019,9,72.85329166666669
HB_SOUTH,2019,9,78.90047222222223
HB_WEST,2019,9,78.42925
LZ_AEN,2019,9,80.16959722222222
LZ_CPS,2019,9,82.43634722222221
LZ_HOUSTON,2019,9,80.77929166666662
